Id,SalePrice
1461,121748.08014329853
1462,151252.15292095934
1463,178680.94930511597
1464,188674.61960580474
1465,196060.26170771194
1466,166443.37763073292
1467,174616.23451296985
1468,157259.50553572673
1469,192056.63317482042
1470,119008.0856947472
1471,184272.40749484237
1472,96547.30074702506
1473,93979.69041504622
1474,139425.49766610953
1475,111400.85569872278
1476,354617.9570999518
1477,238912.21472247253
1478,281553.6499047993
1479,283993.2249015531
1480,467063.13333996624
1481,319711.2154151839
1482,202286.7510523509
1483,170152.59722691792
1484,156555.86031375438
1485,188236.0194793204
1486,188156.73681702113
1487,349909.43509840826
1488,227484.69234789503
1489,189244.89754455545
1490,223497.52440512076
1491,190296.78877956062
1492,90132.43079020758
1493,186510.93763066322
1494,292008.09056841757
1495,292553.9691866151
1496,234742.06176574508
1497,179510.2439751109
1498,165801.28524503307
1499,160826.95145559075
1500,150075.36607291104
1501,171145.03646957036
1502,137300.1751913161
1503,280039.72409317584
1504,236369.03809958135
1505,222367.56252409957
1506,182056.91927806562
1507,237818.05499381945
1508,198592.32123002445
1509,158067.9702625521
1510,143153.36952375958
1511,145476.04145420907
1512,170948.89450910228
1513,146526.31370957597
1514,157418.39430687577
1515,186790.0838434053
1516,157026.91305748516
1517,167254.70166538932
1518,132187.27543710216
1519,206589.9009518267
1520,125540.07973582184
1521,129010.63640778995
1522,172889.81492543424
1523,110618.47153757248
1524,125067.38271152574
1525,116728.2532422537
1526,112394.27333267093
1527,105404.13964341574
1528,138437.612892744
1529,148622.1307958513
1530,178415.31348337122
1531,103327.359936883
1532,97007.41940843058
1533,143395.2025732888
1534,121786.11882742414
1535,144221.03143409063
1536,107630.33799715854
1537,62276.07679691265
1538,152849.26009536703
1539,188307.8480112529
1540,86831.29046245385
1541,139503.45245505864
1542,139620.90198841068
1543,189215.06528686034
1544,82503.45219007938
1545,115559.05500921319
1546,133150.6055556037
1547,127411.91015170554
1548,139725.2190167589
1549,117727.59109702216
1550,136383.95203880186
1551,106433.62734967776
1552,131800.21045192864
1553,145230.98656481027
1554,113612.76696594134
1555,157508.20341273
1556,81877.45599850788
1557,103193.64284531584
1558,94085.19787625615
1559,64956.89155408496
1560,131949.00560910723
1561,131554.27179042273
1562,128726.87555099954
1563,118479.02639091114
1564,150635.48853115295
1565,144716.49182989524
1566,239357.33835060295
1567,74410.5673160697
1568,228591.21132760105
1569,127073.77646562787
1570,134178.93619970523
1571,115150.34007467948
1572,142963.65463805787
1573,215993.83517301155
1574,119486.16091776048
1575,220931.27133493457
1576,234191.37742993177
1577,175642.34210860857
1578,148143.80278695154
1579,141328.29414136667
1580,190704.13104835388
1581,150416.81425787823
1582,124595.03124384696
1583,289754.24451082526
1584,210207.78899437832
1585,135384.46602058975
1586,65126.10920284571
1587,103887.06180688484
1588,150612.2559763292
1589,96428.8430538132
1590,134138.0655545489
1591,92716.12807501049
1592,114636.19703366449
1593,122630.51541248943
1594,123929.18469690242
1595,103144.73815401054
1596,216380.16189728354
1597,190738.3790042841
1598,225586.67334089437
1599,169940.60168634896
1600,160256.78114475982
1601,67868.04540557273
1602,116949.99914161807
1603,63046.98438133549
1604,264497.73247607006
1605,232608.3285474707
1606,162436.79164657253
1607,170353.03931636267
1608,203556.07821841873
1609,177043.58770971143
1610,148104.72773474798
1611,133650.41159444483
1612,165716.37356006925
1613,157389.34167563467
1614,123433.73206100478
1615,89070.80387258308
1616,74864.70895961377
1617,91016.77200462126
1618,121979.90720155253
1619,134318.94983918875
1620,150469.46073414895
1621,133978.19010023985
1622,136165.35181543033
1623,248337.5909422089
1624,201856.856884903
1625,118280.65317264768
1626,166665.08484404447
1627,185577.32805289995
1628,266587.0369727715
1629,184089.26502483772
1630,342351.3102337718
1631,233487.9636781776
1632,240301.36650387262
1633,173432.75848548015
1634,181542.6055501232
1635,170657.77738868972
1636,149830.75566617085
1637,193699.82573246417
1638,176553.86852398803
1639,182412.08129283617
1640,240820.8515678568
1641,177943.31461181815
1642,236151.30886251427
1643,213306.55326870483
1644,226791.26720571527
1645,188720.45949519108
1646,153497.60695142
1647,157392.5352701032
1648,128385.4770444641
1649,137161.736744296
1650,115000.59983566892
1651,118006.49452950059
1652,95949.54674496979
1653,97932.26860723902
1654,140214.69502565294
1655,134664.87688421502
1656,136079.03184884615
1657,143882.12808633357
1658,140054.67617239247
1659,119435.3551910156
1660,153598.177382039
1661,409586.3419617193
1662,392473.2241769051
1663,372125.71717890596
1664,455761.1991197832
1665,298363.3544489649
1666,321942.5670063951
1667,365720.26875672146
1668,335313.24373541225
1669,300660.39506717754
1670,341902.52449839015
1671,249644.41690831402
1672,409059.2885017794
1673,280590.8052310691
1674,232609.43824868157
1675,185894.58678536172
1676,185198.50808130577
1677,208466.12699407412
